"The recipe","Source file count","Source file changed count","Cumulative scanning time","99th percentile scanning time","Max scanning time","Cumulative edit time","99th percentile edit time","Max edit time"
"The recipe whose stats are being measured both individually and cumulatively.","The number of source files the recipe ran over.","The number of source files which were changed in the recipe run. Includes files created, deleted, and edited.","The total time spent across the scanning phase of this recipe.","99 out of 100 scans completed in this amount of time.","The max time scanning any one source file.","The total time spent across the editing phase of this recipe.","99 out of 100 edits completed in this amount of time.","The max time editing any one source file."
"org.openrewrite.staticanalysis.InstanceOfPatternMatch","54","36","0","0.0","0","9050897","0.99","914300"
"org.openrewrite.java.migrate.SunNetSslPackageUnavailable","54","36","0","0.0","0","9091","0.99","900"
"org.openrewrite.java.migrate.net.MigrateURLEncoderEncode","54","36","0","0.0","0","368102","0.99","30500"
"org.openrewrite.java.migrate.lang.MigrateCharacterIsSpaceToIsWhitespace","54","36","0","0.0","0","11301","0.99","1400"
"org.openrewrite.java.migrate.cobertura.RemoveCoberturaMavenPlugin","54","36","0","0.0","0","10800","0.99","601"
"org.openrewrite.java.migrate.RemovedZipFinalizeMethods","54","36","0","0.0","0","9598","0.99","700"
"org.openrewrite.java.migrate.concurrent.MigrateAtomicIntegerWeakCompareAndSetToWeakCompareAndSetPlain","54","36","0","0.0","0","17305","0.99","1900"
"org.openrewrite.java.migrate.concurrent.MigrateAtomicReferenceWeakCompareAndSetToWeakCompareAndSetPlain","54","36","0","0.0","0","12298","0.99","700"
"org.openrewrite.java.migrate.logging.MigrateInterfaceLoggingMXBeanToPlatformLoggingMXBean","54","36","0","0.0","0","13099","0.99","2399"
"org.openrewrite.java.migrate.javax.MigrateCounterMonitorSetThresholdToSetInitThreshold","54","36","0","0.0","0","7202","0.99","401"
"org.openrewrite.java.migrate.RemovedPolicy","54","36","0","0.0","0","12602","0.99","1200"
"org.openrewrite.java.migrate.javax.MigrateXMLInputFactoryNewInstanceToNewFactory","54","36","0","0.0","0","13811","0.99","1401"
"org.openrewrite.java.migrate.logging.MigrateGetLoggingMXBeanToGetPlatformMXBean","54","36","0","0.0","0","965603","0.99","206400"
"org.openrewrite.java.migrate.lang.MigrateRuntimeVersionMajorToFeature","54","36","0","0.0","0","9195","0.99","1100"
"org.openrewrite.java.migrate.InternalBindPackages","54","36","0","0.0","0","19304","0.99","1499"
"org.openrewrite.java.migrate.ChangeMethodInvocationReturnType","54","36","0","0.0","0","14832692","0.99","4523000"
"org.openrewrite.java.migrate.lang.StringFormatted","54","36","0","0.0","0","73664106","0.99","69036301"
"org.openrewrite.java.migrate.net.URLConstructorsToURIRecipes$URLFourArgumentConstructorRecipe","54","36","0","0.0","0","2089301","0.99","178400"
